PetID,resnet_prob_class_0,resnet_prob_class_1,resnet_prob_class_2,resnet_prob_class_3,resnet_prob_class_4
138c79a01,0.0403463,0.4245497,0.27663174,0.15467995,0.10379224
628a224b2,0.0012768016,0.096140705,0.18390954,0.2112894,0.5073836
7cfaaa67a,0.013175107,0.08821904,0.24157783,0.17605744,0.4809706
7a1609dd4,0.045465756,0.3255474,0.2576966,0.20351098,0.1677793
bed5b657b,0.0033635045,0.05868216,0.22530343,0.22309318,0.48955768
1a9e7158e,0.02590268,0.13583069,0.27219167,0.22254407,0.34353083
a40116bf1,0.022608303,0.21603303,0.25722614,0.20514669,0.29898584
35f9132e5,0.03612025,0.22883597,0.25037748,0.20627894,0.2783874
b64e30a78,0.0019969072,0.063702404,0.13620146,0.22215582,0.57594335
98a98311c,0.06029006,0.27235633,0.25653377,0.13741489,0.27340493
d9fca8be8,0.025298577,0.38776743,0.23572414,0.23204981,0.119160034
b7a55f716,0.034733355,0.24531627,0.2945453,0.30918822,0.116216816
57b57989d,0.0052597555,0.03259346,0.12004764,0.24334931,0.5987499
8b2be8807,0.029967114,0.1130846,0.26728377,0.35875976,0.23090479
796cc971d,0.019734915,0.091646574,0.20564446,0.2507342,0.43223986
64f563069,0.050943512,0.2559093,0.18893793,0.2534559,0.25075334
166040493,0.028923143,0.27853113,0.29404727,0.21512872,0.18336976
c6df796ba,0.023379011,0.44999292,0.31049442,0.14049844,0.07563522
d6715d925,0.029552575,0.3259552,0.3655897,0.1603298,0.11857266
ccf24ab8f,0.030324986,0.14048912,0.2120457,0.2516087,0.36553147
3d7204289,0.034777287,0.25212696,0.26398918,0.2840575,0.16504908
10836809d,0.008261578,0.18989949,0.44339108,0.18384436,0.17460345
64c2d97a4,0.03518177,0.24748902,0.22923024,0.19521363,0.29288527
4cbc3433e,0.015862174,0.26714852,0.31183016,0.16594218,0.23921698
31144a6be,0.018962225,0.18967135,0.37511188,0.270109,0.14614555
cecf7977d,0.023684591,0.31785378,0.44388762,0.14922898,0.06534503
6704c5fd7,0.026639383,0.17910817,0.38153738,0.24234174,0.17037337
4d1d8655a,0.015805548,0.1893958,0.2730637,0.26128027,0.2604547
55f1edd7d,0.019928167,0.16716899,0.2510975,0.14811428,0.413691
9ec161c16,0.02223394,0.24547844,0.3066147,0.2529242,0.17274868
923a03e90,0.008939507,0.17653243,0.2975796,0.218596,0.29835248
b0278d962,0.008860758,0.09061206,0.26960027,0.25173312,0.37919378
ab385bfae,0.006633357,0.20127031,0.24280383,0.2988575,0.25043505
1ba7bdbe6,0.046723284,0.58552396,0.25729015,0.0817663,0.028696273
60b188249,0.00488321,0.22859083,0.24292439,0.30130243,0.22229908
29f5cedc0,0.02672546,0.29137695,0.28391454,0.18413618,0.21384692
01573c686,0.009351807,0.045324016,0.11573487,0.137842,0.69174737
92d5ac408,0.024477124,0.15084967,0.2789932,0.28101403,0.26466602
972fba985,0.026904482,0.23573211,0.2874609,0.15173422,0.29816824
d81afce4f,0.0128987385,0.21364543,0.2451513,0.2783067,0.24999781
4f66fa0c3,0.015813662,0.24253145,0.33107522,0.21715812,0.19342157
ed5631a9c,0.02033608,0.25660846,0.44257045,0.18785791,0.09262707
8ecb9aab0,0.057274297,0.4689287,0.24813917,0.1543023,0.071355544
2932eac8e,0.025008392,0.109934665,0.21998756,0.17892376,0.46614566
eadb7f25e,0.0061765676,0.0678623,0.1571475,0.11394615,0.6548674
4989496c6,0.046370897,0.23820497,0.3280797,0.2349752,0.1523692
c3106dcd5,0.021867711,0.336858,0.25832582,0.18772332,0.19522512
7ec72b62f,0.07572356,0.333864,0.3018942,0.1467294,0.14178884
5e6a7ea61,0.004345917,0.059516612,0.11269189,0.13842557,0.68501997
99b55ee76,0.004132675,0.03859067,0.14801264,0.17613022,0.63313377
5b1528841,0.0034791843,0.13308348,0.15904069,0.24312511,0.4612715
ecb3e47a6,0.015479419,0.22402738,0.3340176,0.28230354,0.14417201
d3f0d22a7,0.043355606,0.28214547,0.3644377,0.19329342,0.11676782
d61dd6a6b,0.009194073,0.0621331,0.2205598,0.1789012,0.52921176
924cc5438,0.029308988,0.33155358,0.30433255,0.23101045,0.1037944
739002fc4,0.023001125,0.14511965,0.27489975,0.21528348,0.341696
8cc7f24f2,0.010969604,0.2577895,0.24898377,0.17250906,0.30974805
7d4f585b5,0.010996084,0.25059158,0.41585076,0.21942712,0.10313447
e1b0baf8a,0.032833714,0.40816513,0.3361734,0.13210344,0.09072427
0b819602d,0.02142189,0.23116161,0.2707942,0.14168079,0.33494154
de9e02d44,0.053542066,0.23484525,0.2602056,0.25349557,0.19791144
ed0185e39,0.012054197,0.104414895,0.2184289,0.2096104,0.45549163
79e5de9a7,0.006076417,0.053506568,0.16419901,0.16305546,0.6131625
6eb6c99b4,0.015626073,0.17710304,0.27746284,0.29317284,0.2366352
e89b02af3,0.041973278,0.24539797,0.2560329,0.2637911,0.19280472
9c803d826,0.026283752,0.35818553,0.22583951,0.19360904,0.19608214
cfbd5c54d,0.007827236,0.0564599,0.209738,0.22440982,0.50156504
007bc1db4,0.053763393,0.17036079,0.23693757,0.18772075,0.35121757
745facb3c,0.0013343899,0.027637996,0.12758744,0.18185328,0.66158694
d55faa0ff,0.017341975,0.25537756,0.31498584,0.26136515,0.15092948
cc8518f88,0.039775252,0.27257892,0.3002533,0.18783358,0.19955899
523af701f,0.038981922,0.34755152,0.31685326,0.14658082,0.15003248
8040ff400,0.022795945,0.2597816,0.28349653,0.19986056,0.23406543
945a7a8dd,0.0026538433,0.061027396,0.066966966,0.114193946,0.7551579
e0b36580b,0.034831572,0.2931821,0.3042855,0.2129084,0.15479244
4db543276,0.038185015,0.33684805,0.34809625,0.2207861,0.05608455
dc0935a84,0.03539982,0.29836965,0.29665023,0.14909978,0.22048053
9aabc0113,0.028022904,0.48515773,0.24989071,0.1298335,0.10709517
97e47e7c0,0.019585446,0.44820872,0.292081,0.17032547,0.06979937
a9199119d,0.032270078,0.223799,0.33553073,0.3053235,0.10307666
fa5957d1c,0.008499287,0.15944745,0.3957757,0.23288245,0.20339508
1eb9e12e8,0.033878308,0.24992129,0.3418121,0.23357995,0.14080839
5d8c4f66b,0.011853481,0.14963038,0.25841576,0.363359,0.21674135
451d64f26,0.004028838,0.08638304,0.22077137,0.34323427,0.34558257
8bbf5133b,0.02306519,0.3381372,0.28752872,0.16771737,0.18355148
d5176f7eb,0.03223126,0.20815042,0.27586997,0.20151192,0.28223637
558ca2c00,0.0017998454,0.055147786,0.093275145,0.15634559,0.6934316
ecaf2b938,0.0068504554,0.20835455,0.31969443,0.1370441,0.32805648
e128e9022,0.044539284,0.29710886,0.32096913,0.20773289,0.12964985
eba773cbe,0.009274377,0.23371302,0.34745002,0.25789562,0.15166698
